"ELTGNR_CD","BSNS_PARTCPTN_STTUS_CMMN_CD","TITLE","EQP_CPCTY_CMMN_CD","BIZRNO","KMOS_MBERNO","KMOS_PRMISNNO","KMOS_REGISTNO","KMOS_REC_ACNTNO","ESS_YN","ESS_CPCTY","REGIST_DT","UPDT_DT","BSNS_PARTCPTN_DT","MRNR_SPORT_CMMN_CD","CSTMR_DSTBRT","BSNM_DSTBRT","CNTRCT_DT","MBER_ID","ELTGNR_NM","VPP_ELTGNR_CD","DVLP_RESRCE_CMMN_CD","EQP_CPCTY","LOCPLC"
"073a4c74-d214-4e6f-818d-3fd8b1cad050","448808fd-47af-46e9-8e10-5ceca4bc3331","22110007_아텍시스템","884939cd-0c4a-41a6-ab41-71cb42611a75","3258700889","3875",제2018-6480000-81-00083호,ABC3,PV10-R-051391,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2022-11-17 00:00:00",atech777,주식회사 아텍시스템,f7f6dc17-c1ba-49dd-a332-1abbb8d62a5a,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3298, 3299, 3299-1, 3299-2, 3299-3, 3299-4"
"0f2bbac3-8acd-4e42-a082-0b4e48dad849","448808fd-47af-46e9-8e10-5ceca4bc3331","22070014_무령태양광발전","884939cd-0c4a-41a6-ab41-71cb42611a75","5658801085","3058",전남 제4373호,A717/3444,PV07-R-045731,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",MR3287,무령태양광발전소,"43e24e4a-89c6-4c2c-8dd7-0331a7bac6df","68caa790-e6c1-4de2-9370-81ae5f8c10ae",458800,충청남도 공주시 공단길 14-29 공주시
"133160ce-31b8-4dab-aee6-2bafc90a04a4","448808fd-47af-46e9-8e10-5ceca4bc3331","22070010_아마에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","3888101136","3056",전남 제4348호,A695/3426,PV07-R-045697,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",AM3287,아마에너지태양광발전소,"8979a391-6aae-40f4-b19b-a6d1cfc0c1fa","68caa790-e6c1-4de2-9370-81ae5f8c10ae",496380,서귀포시 성산읍 삼알리 2076번지
"15035037-a054-4b0e-8fdf-a510c46c1f1d","448808fd-47af-46e9-8e10-5ceca4bc3331","22070006_피브이와트","884939cd-0c4a-41a6-ab41-71cb42611a75","8838101117","3062",전남 제4363호,A758/3469,PV07-R-045739,Y,2000000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",PV3287,피브이와트 태양광발전소,"2860f9c5-8e53-4e7d-82f8-3dac644ae0b4","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99000,제주특별시 서귀포시 성산읍 수산리 1853-2
"2cb0e657-fb5b-47a0-9734-208a0fd93b57","448808fd-47af-46e9-8e10-5ceca4bc3331","22090006_쏠17호태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","1212761131","3349",순천 제381호,"7648/3092",PV12-R-025151,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",SSol17,쏠17호 태양광발전소,"696ac54c-6e8d-46c3-9825-5a5d8afc2daf","68caa790-e6c1-4de2-9370-81ae5f8c10ae",1200000,전라남도 해남군 해남읍 복평리 산 157
"2f57068d-2979-4e44-b87e-1b48ba973484","448808fd-47af-46e9-8e10-5ceca4bc3331","21090015_희윤 태양광발전소(희윤5)","884939cd-0c4a-41a6-ab41-71cb42611a75","6163102049","1292",제 2014-6500000-81-00212,A455,PV10-R-037920,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-10 00:00:00",phy1120,희윤5 태양광발전소,d9c249ef-c976-443e-8678-11233af8c449,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3292, 3292-1, 3292-2, 3293"
"3172116a-6983-41a4-8867-40ea7ba8e009","448808fd-47af-46e9-8e10-5ceca4bc3331","21090034_납읍햇빛에너지 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","3278700866","1077","2018-6500000-81-00148",AE63,PV10-R-046994,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2021-08-24 00:00:00",dasonmal,납읍햇빛에너지 태양광발전소,"3c6c4822-885b-48dd-9e5f-dcd30430bbd4","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2004660,"영광군 백수읍 하사리 3290, 3291, 3291-1"
"3206b859-bbca-4631-aee9-2f30b398ce66","448808fd-47af-46e9-8e10-5ceca4bc3331","22070008_지승태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","5248700910","3063",전남 제4351호,A753/3466,PV07-R-045742,Y,2500000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",JS3287,지승태양광발전소,ee074dd2-b57a-4305-9e33-5051df3d3fd1,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99130,"전라남도 순천시 낙안면 창녕리 산 226-5, 880-1,2,3"
"3ec99230-6de3-42f3-ae09-6449cedc2c34","448808fd-47af-46e9-8e10-5ceca4bc3331","21090011_이수태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","1160671253","1001",제2018-6500000-81-00200호,"7603",PV10-R-031992,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-08-10 00:00:00",isu4654,이수태양광,afd4a560-e317-4457-a52d-31b87e5fee35,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3251, 3252"
"40e3d65d-2e56-4efa-a89e-4a5ba5625b3b","448808fd-47af-46e9-8e10-5ceca4bc3331",자연태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","2077463188","4733",제2015-20-1호(경기),BL70,PV10-R-014213,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","05295c49-3fe4-46ea-ad6c-471ec251e6ce",60,40,"2023-04-25 00:00:00",JY2251,자연태양광,"53991c5b-6e93-4156-a204-24b25d903e19","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99130,"전라남도 순천시 낙안면 창녕리 산 226-5, 880-1,2,3"
"46add828-b757-48e0-9218-891538f91a7a","448808fd-47af-46e9-8e10-5ceca4bc3331","21090050_의성발전㈜ 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","4158600579","118",충북 제2017-139호,"6986/3098",PV10-R-033104,Y,800000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-24 00:00:00",ui3080,의성발전 주식회사,cc7a2fe4-8cb3-4e6f-b360-594ec1e7a7f0,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99125,전라남도 순천시 낙안면 창녕리 산 225
"4af4b8d3-401b-424c-b2c9-9f503b8f4b3d","448808fd-47af-46e9-8e10-5ceca4bc3331","22070016_도영태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","5668101003","3094",전남 제4354호,A745/3463,PV07-R-045720,Y,1000000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",DY3287,도영태양광발전소,d7f88385-9b80-456a-b1f1-7dcf3251e6de,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",999000,"영광군 백수읍 하사리 3300, 3300-1, 3301, 3302"
"4b441854-619c-4728-9c5f-51f384f71f6d","448808fd-47af-46e9-8e10-5ceca4bc3331","22070023_강수에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","3678601134","3054",전남 제4345호,A765/3476,PV07-R-045730,Y,2500000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",KS3287,강수에너지태양광발전소,"29c32820-03eb-4269-ae2c-a8852bc6342b","68caa790-e6c1-4de2-9370-81ae5f8c10ae",99645,"전라남도 순천시 낙안면 창녕리 879-37, 880-1"
"4e09c4cd-4a3a-4e38-b294-e4fcf0c1e01f","448808fd-47af-46e9-8e10-5ceca4bc3331","22090025_양주솔라3호","884939cd-0c4a-41a6-ab41-71cb42611a75","3780700839","3485",순천 제374호,"7647/3091",PV12-R-025069,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-23 00:00:00",Yangju03,양주솔라3호 태양광발전소,d7969d73-4f6c-43e6-a1e4-d6095634809c,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99645,전라남도 순천시 낙안면 창녕리 879-3
"52e30d80-fb07-486e-badb-72a77f9a4649","448808fd-47af-46e9-8e10-5ceca4bc3331",대화에너지평촌 태양광발전소,"884939cd-0c4a-41a6-ab41-71cb42611a75","8418601253","4756",제2019-4280000-38-5-00094호,BJ98,PV10-R-050141,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","042e8443-6773-4fe5-bd3e-cc64e9f5dbc8",60,40,"2023-04-25 00:00:00",NV2976,에너지평촌 주식회사,bef6d362-abe4-4031-8160-b90e66a41fd3,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",99130,"전라남도 순천시 낙안면 창녕리 산225, 산226-1"
"54934cee-6488-436f-bc96-e56d583606f2","448808fd-47af-46e9-8e10-5ceca4bc3331","22090024_양주솔라2호","884939cd-0c4a-41a6-ab41-71cb42611a75","5743100432","3498",순천 제373호,"5843/8424",PV12-R-024333,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-23 00:00:00",Yangju02,양주솔라2호 태양광발전소,"0ed5a284-5341-4611-86ef-a5c1e73afc80","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3296, 3296-1, 3297"
"58766f28-1692-47f7-87cc-620ee1366a07","448808fd-47af-46e9-8e10-5ceca4bc3331","21090028_세영3호 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","4581801203","1084","2020-6500000-81-00251",AN52,PV10-R-053340,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",100,0,"2021-08-10 00:00:00",SY33074,세영3호태양광발전소,"655ef317-fdd6-4f6a-9212-f67b9500555b","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3310, 3311, 3311-1"
"61795f60-fd55-466f-b982-8c58f31f25b6","448808fd-47af-46e9-8e10-5ceca4bc3331","22090004_쏠8호태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","7140901362","3355",순천 제606호,A581/3366,PV12-K-006082,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",Ssol08,쏠8호 태양광발전소,"58bcfa47-eb77-468f-8eb1-373253ac8f77","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3310, 3311, 3311-1"
"61af9133-89f9-4614-9e30-067f922b5edc","448808fd-47af-46e9-8e10-5ceca4bc3331","21090015_희윤 태양광발전소(희윤4)","884939cd-0c4a-41a6-ab41-71cb42611a75","6163102049","1292",제 2014-6500000-81-00211 호,A454,PV10-R-037917,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-10 00:00:00",phy1120,희윤4 태양광발전소,"6d3f978e-7e1f-473f-bd7e-452529e0a160","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3270, 3271"
"61df5e40-501e-4240-979a-83547869634d","448808fd-47af-46e9-8e10-5ceca4bc3331","22090009_코너지","884939cd-0c4a-41a6-ab41-71cb42611a75","4178133727","3408","","9865",PV07-F-0641,N,0,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",conergy,코너지해남태양광,"4d2e211f-9afd-48ce-b768-528aba89a957","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2004660,"영광군 백수읍 하사리 3272, 3273"
"61df9e1f-ecb6-4053-a90d-a01acef14c94","448808fd-47af-46e9-8e10-5ceca4bc3331","22070020_광백태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","6568801038","3051",전남 제4364호,A722/3449,PV07-R-045735,Y,2000000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",GB3287,광백태양광발전소,"567dddde-003a-446c-8aa0-cf6e2bcb61b0","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2004660,"영광군 백수읍 하사리 3316, 3317, 3317-1, 3318, 3318-1"
"6adb94cd-f034-4184-898d-41376351de7b","448808fd-47af-46e9-8e10-5ceca4bc3331","22070015_라미태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","5098801047","3053",전남 제4349호,A739/3457,PV07-R-045699,Y,2500000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",RM3287,라미에너지태양광발전소,"77ab4cd6-dbea-4c8d-8fa6-5cf21df81770","68caa790-e6c1-4de2-9370-81ae5f8c10ae",999000,"영광군 백수읍 하사리 3268, 3269"
"6e49e8ff-ce77-424e-89bd-defd86623ed9","448808fd-47af-46e9-8e10-5ceca4bc3331","22110001_서광태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","1902300336","3635",순천 제 413호,"5844/8425",PV12-R-020620,Y,99000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-11-02 00:00:00",kjh6490,서광태양광(육지),"1c28a174-108c-4abb-868e-68d3946661e1","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3261, 3262"
"6ed44951-4fb6-4ff2-8492-06f4b9a53f97","448808fd-47af-46e9-8e10-5ceca4bc3331","21090015_희윤 태양광발전소","884939cd-0c4a-41a6-ab41-71cb42611a75","6163102049","1292",제 2014-6500000-81-00213 호,A453,PV10-R-037915,N,0,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",60,40,"2021-08-10 00:00:00",phy1120,희윤태양광발전소,ae41650d-ebb2-42e4-a38a-ba3629362ed9,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3259, 3260"
"78faf37d-2be1-4ac2-890f-947e8a35959e","448808fd-47af-46e9-8e10-5ceca4bc3331","22090005_쏠9호태양광","884939cd-0c4a-41a6-ab41-71cb42611a75","8297600221","3356",순천 제607호,A582/3367,PV12-R-041524,Y,99000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-09-01 00:00:00",Ssol09,쏠9호 태양광발전소,"82d694e3-c690-4cc9-9a1f-cd20a4f93edc","68caa790-e6c1-4de2-9370-81ae5f8c10ae",2997000,"영광군 백수읍 하사리 3257, 3258"
"7e2964b3-df58-4f06-9245-1cae05e466bd","448808fd-47af-46e9-8e10-5ceca4bc3331","22070012_산강에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","2898800955","3064",전남 제 4361 호,A694/3425,PV07-R-045715,Y,1000000,"2024-05-28 21:06:14",,"2024-05-28 21:06:14","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",SK3287,산강에너지태양광발전소,fe1cd2b2-3074-46af-8f11-beb34887de61,"68caa790-e6c1-4de2-9370-81ae5f8c10ae",999000,"영광군 백수읍 하사리 3243, 3244, 3245"
"7f7ce73e-024b-486a-b063-3b827453a429","448808fd-47af-46e9-8e10-5ceca4bc3331","22070007_코로나에너지","884939cd-0c4a-41a6-ab41-71cb42611a75","2578801087","3050",전남 제4358호,A723/3450,PV07-R-045753,Y,2000000,"2024-05-28 21:06:13",,"2024-05-28 21:06:13","549b3755-68f6-482c-9028-f5609b9d0fbe",80,20,"2022-07-15 00:00:00",CR3287,코로나에너지태양광발전소,"00584c54-5fcc-4237-a255-91b3646f3892","68caa790-e6c1-4de2-9370-81ae5f8c10ae",996300,경상남도 의령군 봉곡리 산 194
